id,name,category,description,score,status,previous_score,is_active,created_at,updated_at
16,Supplier Quality,Safety Equipment,Supplier quality assurance and incoming quality,8.72,Compliant,3.02,True,2026-05-07 09:25:07,2025-09-23 14:45:35
17,Information Security,Packaging,Information security and access controls,5.12,Compliant,3.49,True,2027-01-21 12:48:21,2026-06-26 11:11:39
18,Data Privacy,Packaging,Personal data protection and privacy,15.93,Compliant,5.32,True,2026-07-30 08:52:45,2026-10-05 12:44:50
19,Business Continuity,Raw Materials,Continuity and recovery planning,19.18,Compliant,12.71,True,2026-02-08 18:07:29,2026-05-17 11:06:20
20,Environmental Management,Electrical Equipment,Environmental controls and reporting,1.69,Compliant,24.45,True,2026-05-13 11:25:44,2026-08-10 18:40:49
21,Occupational Safety,Electrical Equipment,Worker health and safety,9.89,Compliant,17.76,True,2025-12-18 13:41:30,2027-01-29 18:32:32
22,Procurement Controls,Packaging,"Sourcing, approvals and segregation of duties",21.9,Compliant,18.9,True,2025-12-30 17:53:20,2027-03-31 14:21:47
23,Contract Management,MRO Supplies,Contract obligations and renewals,3.43,Compliant,8.07,True,2027-01-28 12:13:08,2026-08-02 11:43:17
24,Financial Controls,Warehouse Supplies,"Invoice, payment and financial controls",9.48,Compliant,19.38,True,2026-09-07 12:14:37,2026-04-26 09:10:14
25,Inventory Controls,Warehouse Equipment,"Stock accuracy, valuation and replenishment",18.99,Compliant,21.03,True,2026-06-19 08:10:47,2026-08-12 13:51:32
26,Warehouse Operations,Safety Equipment,Warehouse handling and storage,11.43,Compliant,2.88,True,2026-08-31 11:14:10,2026-01-10 14:56:20
27,Transportation Safety,Electrical Equipment,Transport planning and carrier controls,4.41,Compliant,17.4,True,2025-09-20 14:07:06,2026-12-11 18:31:35
28,Document Control,Chemical Products,Controlled records and document retention,8.72,Compliant,22.33,True,2026-03-27 12:47:07,2027-01-18 14:30:22
29,Access Management,Warehouse Supplies,User access lifecycle and privileges,9.86,Compliant,24.61,True,2026-04-08 13:40:22,2025-11-29 13:43:20
30,IT Governance,IT Services,Technology governance and risk management,16.05,Compliant,8.75,True,2025-10-04 09:04:02,2026-10-06 15:11:27
