id,userId,message,type,read,date
1,6,New procurement request requires attention.,info,false,2025-05-12
2,2,Purchase order delivery is approaching.,info,true,2024-01-19
3,3,Vendor reliability score requires review.,warning,true,2025-12-22
4,1,Purchase order has been delayed.,info,true,2024-05-17
5,5,New procurement request requires attention.,success,true,2025-04-12
6,1,Contract is approaching expiry.,danger,false,2025-03-24
7,5,Purchase order delivery is approaching.,warning,false,2024-08-15
8,3,Supplier performance has changed.,info,true,2025-08-19
9,2,Supplier performance has changed.,success,true,2025-11-08
10,1,Vendor reliability score requires review.,info,false,2025-06-07
11,3,Supplier performance has changed.,danger,false,2026-05-13
12,2,Purchase order delivery is approaching.,success,false,2024-02-28
13,6,Vendor reliability score requires review.,info,false,2024-10-08
14,5,Invoice payment is overdue.,info,false,2025-01-03
15,4,Vendor reliability score requires review.,danger,true,2024-01-07
16,2,Purchase order delivery is approaching.,danger,true,2025-04-09
17,2,Invoice payment is overdue.,danger,true,2024-03-26
18,1,Purchase order delivery is approaching.,warning,true,2025-02-27
19,2,Purchase order delivery is approaching.,success,true,2026-08-30
20,6,New procurement request requires attention.,info,true,2025-03-01
21,1,Invoice payment is overdue.,danger,false,2024-10-03
22,6,Vendor compliance document requires renewal.,danger,true,2024-06-24
23,6,Supplier performance has changed.,info,false,2024-09-12
24,3,Vendor reliability score requires review.,warning,false,2024-03-26
25,1,Vendor reliability score requires review.,info,false,2024-12-13
26,1,Purchase order delivery is approaching.,warning,true,2026-08-02
27,1,Purchase order delivery is approaching.,warning,false,2024-02-29
28,2,Purchase order has been delayed.,danger,true,2026-03-29
29,6,New procurement request requires attention.,danger,false,2025-09-13
30,4,Vendor compliance document requires renewal.,info,false,2024-09-19
31,5,Supplier performance has changed.,danger,true,2024-11-20
32,4,Supplier performance has changed.,info,false,2024-06-22
33,2,New procurement request requires attention.,danger,false,2026-02-14
34,1,Vendor compliance document requires renewal.,warning,false,2026-02-14
35,1,Purchase order has been delayed.,warning,false,2026-06-19
36,1,Contract is approaching expiry.,danger,false,2024-04-21
37,1,New procurement request requires attention.,info,false,2024-02-26
38,3,Vendor reliability score requires review.,info,false,2025-11-18
39,3,Supplier performance has changed.,danger,true,2025-07-24
40,2,Vendor compliance document requires renewal.,danger,false,2026-05-20
41,3,Vendor reliability score requires review.,warning,false,2026-01-21
42,3,Purchase order delivery is approaching.,warning,false,2026-02-03
43,2,New procurement request requires attention.,success,false,2025-05-20
44,6,Vendor reliability score requires review.,info,false,2026-05-18
45,1,Purchase order delivery is approaching.,warning,true,2024-08-20
46,4,Vendor compliance document requires renewal.,success,false,2025-06-06
47,3,Purchase order has been delayed.,info,false,2024-05-26
48,3,Purchase order delivery is approaching.,danger,true,2024-10-28
49,2,Vendor reliability score requires review.,danger,false,2025-11-06
50,5,Purchase order delivery is approaching.,danger,true,2024-02-15
51,4,Purchase order delivery is approaching.,warning,true,2025-03-12
52,3,Purchase order has been delayed.,success,true,2025-09-02
53,6,Purchase order has been delayed.,danger,false,2026-01-24
54,1,Vendor reliability score requires review.,warning,false,2024-05-04
55,4,Purchase order delivery is approaching.,warning,true,2024-01-30
56,4,Vendor compliance document requires renewal.,info,true,2025-12-05
57,4,Supplier performance has changed.,info,true,2024-01-06
58,4,Purchase order has been delayed.,warning,true,2025-06-03
59,3,Supplier performance has changed.,warning,false,2025-03-23
60,1,Vendor compliance document requires renewal.,danger,false,2026-03-29
61,1,Vendor compliance document requires renewal.,danger,false,2024-05-14
62,6,Purchase order delivery is approaching.,success,true,2025-07-20
63,2,New procurement request requires attention.,info,false,2024-07-29
64,1,Contract is approaching expiry.,info,false,2024-06-11
65,4,Contract is approaching expiry.,warning,false,2025-07-01
66,2,Invoice payment is overdue.,danger,false,2026-07-22
67,3,Vendor reliability score requires review.,info,true,2025-12-04
68,1,Supplier performance has changed.,warning,false,2025-12-05
69,4,Vendor compliance document requires renewal.,info,true,2024-06-29
70,6,Contract is approaching expiry.,warning,false,2026-03-27
71,2,Vendor reliability score requires review.,success,false,2024-04-08
72,6,Vendor reliability score requires review.,info,true,2025-01-01
73,4,Vendor reliability score requires review.,info,false,2026-06-14
74,6,Contract is approaching expiry.,info,false,2026-01-05
75,2,Purchase order has been delayed.,info,true,2026-07-12
76,3,Supplier performance has changed.,warning,true,2024-11-21
77,1,Vendor compliance document requires renewal.,danger,false,2026-02-10
78,1,Vendor compliance document requires renewal.,danger,true,2025-08-09
79,4,Supplier performance has changed.,danger,true,2025-01-30
80,1,Contract is approaching expiry.,warning,true,2026-06-01
81,4,Purchase order has been delayed.,success,true,2026-04-08
82,1,Contract is approaching expiry.,success,false,2026-06-13
83,3,Supplier performance has changed.,info,true,2025-01-31
84,5,New procurement request requires attention.,info,false,2025-07-26
85,4,Invoice payment is overdue.,danger,true,2026-04-16
86,5,Invoice payment is overdue.,warning,true,2026-02-11
87,1,Vendor reliability score requires review.,info,false,2025-02-02
88,3,New procurement request requires attention.,warning,true,2026-05-22
89,6,Invoice payment is overdue.,info,true,2024-10-10
90,4,Vendor reliability score requires review.,success,false,2026-05-06
91,6,Vendor compliance document requires renewal.,info,false,2026-06-27
92,1,Vendor compliance document requires renewal.,warning,true,2025-04-26
93,3,Vendor reliability score requires review.,warning,false,2025-04-23
94,5,Vendor reliability score requires review.,warning,true,2024-02-29
95,3,Purchase order has been delayed.,info,true,2025-05-15
96,6,Vendor reliability score requires review.,success,false,2025-03-11
97,3,Supplier performance has changed.,info,true,2024-01-05
98,6,Vendor reliability score requires review.,warning,true,2026-07-07
99,1,Supplier performance has changed.,danger,false,2024-11-01
100,4,Invoice payment is overdue.,info,false,2024-07-03
101,4,New procurement request requires attention.,info,false,2024-06-12
102,5,Contract is approaching expiry.,warning,true,2025-03-31
103,2,Supplier performance has changed.,warning,true,2024-07-07
104,1,Supplier performance has changed.,success,false,2024-03-15
105,3,Supplier performance has changed.,info,true,2024-07-12
106,3,Contract is approaching expiry.,warning,false,2024-03-23
107,1,Purchase order has been delayed.,danger,false,2024-01-14
108,6,Supplier performance has changed.,info,true,2026-06-05
109,5,Purchase order delivery is approaching.,warning,true,2025-06-09
110,1,Supplier performance has changed.,info,false,2024-04-14
111,2,Vendor reliability score requires review.,info,false,2024-09-21
112,6,Vendor reliability score requires review.,warning,false,2024-03-10
113,3,Vendor compliance document requires renewal.,success,true,2026-04-01
114,2,Purchase order has been delayed.,danger,true,2026-03-14
115,4,New procurement request requires attention.,danger,true,2025-06-07
116,4,Invoice payment is overdue.,info,true,2025-11-21
117,3,Contract is approaching expiry.,success,true,2025-01-19
118,1,Supplier performance has changed.,danger,true,2025-02-25
119,1,Purchase order has been delayed.,info,true,2024-11-04
120,1,Invoice payment is overdue.,danger,true,2025-09-16
121,3,Purchase order delivery is approaching.,success,false,2025-07-02
122,1,Invoice payment is overdue.,danger,false,2025-08-15
123,3,Invoice payment is overdue.,danger,false,2024-07-31
124,4,Supplier performance has changed.,success,true,2025-11-04
125,3,Supplier performance has changed.,warning,false,2025-03-06
126,5,Purchase order delivery is approaching.,warning,true,2026-02-11
127,5,Supplier performance has changed.,info,false,2025-01-25
128,6,Invoice payment is overdue.,info,false,2025-09-24
129,5,Purchase order has been delayed.,danger,true,2024-09-02
130,6,Vendor reliability score requires review.,success,true,2024-01-09
131,3,Contract is approaching expiry.,success,true,2026-04-12
132,2,Invoice payment is overdue.,info,false,2024-01-05
133,2,Supplier performance has changed.,info,true,2025-05-22
134,1,New procurement request requires attention.,info,true,2026-03-07
135,3,Invoice payment is overdue.,danger,false,2025-03-15
