id,name,code,description,status,created_at,updated_at
16,ISO 9001,ISO9001-D01,Quality Management System,Active,2026-06-19 11:18:50,2026-02-26 14:29:57
17,ISO 27001,ISO27001-D02,Information Security Management,Active,2026-09-15 08:49:05,2027-03-30 08:03:27
18,ISO 14001,ISO14001-D03,Environmental Management,Active,2025-09-18 12:46:22,2025-10-09 09:09:34
19,ISO 45001,ISO45001-D04,Occupational Health and Safety,Active,2025-10-21 17:39:59,2025-11-03 18:07:05
20,ISO 22301,ISO22301-D05,Business Continuity Management,Active,2026-07-28 18:43:52,2027-02-01 10:19:34
21,SOC 2 Type II,SOC2-T2-D06,Service Organization Controls,Active,2026-08-13 17:21:16,2026-04-04 15:22:27
22,GDPR,GDPR-D07,Data Protection and Privacy,Active,2026-12-30 17:00:48,2027-01-22 12:53:51
23,COBIT 2019,COBIT2019-D08,IT Governance and Controls,Active,2027-02-05 16:42:28,2026-01-13 15:13:43
24,PCI DSS,PCI-DSS-D09,Payment Card Data Security,Active,2026-08-11 15:38:23,2026-09-26 18:15:19
25,NIST CSF,NIST-CSF-D10,Cybersecurity Risk Management,Active,2025-12-21 16:11:10,2026-01-10 17:47:03
26,CIS Controls,CIS-D11,Cybersecurity Controls,Active,2026-02-22 12:21:13,2026-04-30 14:02:00
27,SA8000,SA8000-D12,Social Accountability,Active,2026-05-20 14:58:47,2026-01-09 08:08:47
28,SEDEX/SMETA,SMETA-D13,Ethical Supply Chain,Active,2026-03-07 08:33:20,2026-12-15 08:26:22
29,IATF 16949,IATF16949-D14,Automotive Quality,Active,2025-09-03 10:15:43,2026-04-30 15:38:42
30,FSSC 22000,FSSC22000-D15,Food Safety Management,Active,2026-11-21 09:22:01,2027-02-23 11:46:16
