id,audit_number,title,audit_type,entity_name,entity_type,description,scheduled_date,start_date,end_date,status,progress,risk_level,compliance_score,created_by,created_at,updated_at
51,AUD-DEV-00001,Supplier Audit - Apex Industrial Supplies Private Limited,Supplier Audit,Apex Industrial Supplies Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-11-15,2026-11-15,2026-12-05,Not Started,100.0,Low,96.74,3,2025-10-18 18:31:17,2026-12-24 15:43:11
52,AUD-DEV-00002,Procurement Audit - Bharat IT Services Private Limited,Procurement Audit,Bharat IT Services Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2027-03-09,2027-03-09,2027-03-31,Not Started,65.0,Medium,88.02,3,2026-12-14 15:54:04,2026-09-03 13:43:12
53,AUD-DEV-00003,Vendor Performance Audit - Deccan Food Ingredients Private Limited,Vendor Performance Audit,Deccan Food Ingredients Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-05-07,2026-05-07,2026-05-26,Not Started,0.0,High,74.28,2,2027-02-13 18:25:34,2026-08-05 17:21:02
54,AUD-DEV-00004,Compliance Audit - Eastern Electrical Systems Private Limited,Compliance Audit,Eastern Electrical Systems Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-04-26,2026-04-26,2026-05-16,Not Started,35.0,Low,61.78,5,2025-09-13 11:16:09,2026-01-10 14:58:11
55,AUD-DEV-00005,Invoice Control Audit - Southern Warehouse Equipment Private Limited,Invoice Control Audit,Southern Warehouse Equipment Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2027-03-31,2027-03-31,2027-03-31,Not Started,100.0,Medium,96.38,4,2026-08-31 08:50:14,2026-07-24 08:59:14
56,AUD-DEV-00006,Inventory Audit - Shree Engineering Components Private Limited,Inventory Audit,Shree Engineering Components Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2025-09-08,2025-09-08,2025-09-26,Not Started,65.0,High,88.97,5,2027-03-07 12:38:30,2026-09-04 13:32:16
57,AUD-DEV-00007,Warehouse Audit - Sree Logistics Services Private Limited,Warehouse Audit,Sree Logistics Services Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2025-10-27,2025-10-27,2025-11-07,Not Started,0.0,Low,74.44,3,2025-11-24 14:24:23,2026-01-24 14:50:54
58,AUD-DEV-00008,Information Security Audit - Triveni Textile Materials Private Limited,Information Security Audit,Triveni Textile Materials Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2025-12-24,2025-12-24,2026-01-07,Not Started,35.0,Medium,61.65,3,2026-03-09 11:37:36,2026-02-24 13:53:01
59,AUD-DEV-00009,Supplier Audit - Sai Safety Products Private Limited,Supplier Audit,Sai Safety Products Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-05-31,2026-05-31,2026-06-25,Not Started,100.0,High,96.56,5,2026-12-18 08:57:51,2026-10-27 12:10:00
60,AUD-DEV-00010,Procurement Audit - Sri Lakshmi MRO Supplies Private Limited,Procurement Audit,Sri Lakshmi MRO Supplies Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-11-06,2026-11-06,2026-11-19,Not Started,65.0,Low,88.39,5,2025-11-20 18:22:24,2026-03-25 11:49:00
61,AUD-DEV-00011,Vendor Performance Audit - Pragati Packaging Solutions Private Limited,Vendor Performance Audit,Pragati Packaging Solutions Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-11-13,2026-11-13,2026-12-10,Not Started,0.0,Medium,74.17,4,2027-02-17 16:16:13,2027-02-21 15:19:45
62,AUD-DEV-00012,Compliance Audit - Vardhan Chemical Products Private Limited,Compliance Audit,Vardhan Chemical Products Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-02-06,2026-02-06,2026-02-16,Not Started,35.0,High,61.15,1,2027-01-04 10:37:46,2027-01-13 13:43:37
63,AUD-DEV-00013,Invoice Control Audit - Kaveri Industrial Supplies Private Limited,Invoice Control Audit,Kaveri Industrial Supplies Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-03-04,2026-03-04,2026-03-26,Not Started,100.0,Low,96.48,1,2027-01-22 16:54:13,2026-03-12 09:01:31
64,AUD-DEV-00014,Inventory Audit - Godavari IT Services Private Limited,Inventory Audit,Godavari IT Services Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-10-11,2026-10-11,2026-10-29,Not Started,65.0,Medium,88.54,3,2026-06-23 17:25:38,2025-09-11 08:05:45
65,AUD-DEV-00015,Warehouse Audit - Krishna Food Ingredients Private Limited,Warehouse Audit,Krishna Food Ingredients Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-02-16,2026-02-16,2026-03-05,Not Started,0.0,High,74.6,1,2026-06-21 18:32:26,2026-11-13 17:59:30
66,AUD-DEV-00016,Information Security Audit - Nandi Electrical Systems Private Limited,Information Security Audit,Nandi Electrical Systems Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-01-30,2026-01-30,2026-02-19,Not Started,35.0,Low,61.94,5,2025-11-18 14:21:55,2026-10-30 10:03:51
67,AUD-DEV-00017,Supplier Audit - Andhra Warehouse Equipment Private Limited,Supplier Audit,Andhra Warehouse Equipment Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2027-02-24,2027-02-24,2027-03-20,Not Started,100.0,Medium,96.82,5,2025-10-23 18:51:30,2026-09-10 11:30:24
68,AUD-DEV-00018,Procurement Audit - Telugu Engineering Components Private Limited,Procurement Audit,Telugu Engineering Components Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2027-03-11,2027-03-11,2027-03-31,Not Started,65.0,High,88.42,2,2026-12-19 11:52:39,2026-06-04 17:28:57
69,AUD-DEV-00019,Vendor Performance Audit - Horizon Logistics Services Private Limited,Vendor Performance Audit,Horizon Logistics Services Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-11-16,2026-11-16,2026-12-14,Not Started,0.0,Low,74.4,1,2025-09-18 15:08:06,2026-11-08 12:06:51
70,AUD-DEV-00020,Compliance Audit - Vertex Textile Materials Private Limited,Compliance Audit,Vertex Textile Materials Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2025-12-13,2025-12-13,2026-01-03,Not Started,35.0,Medium,62.0,3,2025-10-03 10:17:59,2026-01-20 13:18:38
71,AUD-DEV-00021,Invoice Control Audit - Prime Safety Products Private Limited,Invoice Control Audit,Prime Safety Products Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-12-30,2026-12-30,2027-01-24,Not Started,100.0,High,96.89,4,2025-10-12 12:15:51,2026-03-01 15:30:39
72,AUD-DEV-00022,Inventory Audit - Metro MRO Supplies Private Limited,Inventory Audit,Metro MRO Supplies Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-08-11,2026-08-11,2026-08-21,Not Started,65.0,Low,88.96,4,2025-11-12 12:28:31,2027-01-11 17:39:37
