Vendor ID,Company Name,Category,Status,Risk Level,Rating,Delivery Rate,Quality Score
1,Alpha Technologies,,Approved,Low,3.5,98.0,99.0
2,Global Supplies Ltd.,,Approved,Low,4.8,97.5,98.5
3,Prime Industrial Solutions,,Approved,Low,4.7,95.0,96.0
4,Zenith Traders,,Approved,Low,4.6,94.0,95.0
5,Horizon Enterprises,,Approved,Medium,4.5,92.0,93.0
6,TechSource Pvt. Ltd.,,Approved,Medium,4.2,88.0,90.0
7,Sigma Materials,,Approved,Medium,4.0,85.0,85.0
8,Vanguard Logistics,,Rejected,High,2.1,58.0,62.5
9,Nexus Supplies,,Suspended,High,1.5,45.0,50.0
10,techno,IT & Software,Approved,Low,3.5,100.0,100.0
