id,plan_id,item_code,product_name,category,demand_units,planned_order_units,inventory_required_units,service_level_target
1,2,ITM-DEV-001,Industrial Safety Gloves,Safety Equipment,4186,3838,772,652299.21
2,3,ITM-DEV-002,Corrugated Shipping Boxes,Packaging,3856,756,1829,583339.69
3,4,ITM-DEV-003,HDPE Packaging Bags,Packaging,51,3738,2191,523652.26
4,5,ITM-DEV-004,Stainless Steel Fasteners,Raw Materials,4012,2102,1672,398170.93
5,6,ITM-DEV-005,Electrical Control Panels,Electrical Equipment,4748,2893,2127,623408.63
6,7,ITM-DEV-006,Copper Cable 4 sq mm,Electrical Equipment,2436,2832,2754,638293.04
7,8,ITM-DEV-007,Pallet Stretch Film,Packaging,2487,831,35,381917.68
8,9,ITM-DEV-008,Industrial Lubricant 20L,MRO Supplies,4527,3729,741,218113.84
9,10,ITM-DEV-009,Warehouse Barcode Labels,Warehouse Supplies,3390,275,3521,851152.58
10,11,ITM-DEV-010,Pallet Racking Beam,Warehouse Equipment,2643,1736,4925,432377.14
11,12,ITM-DEV-011,Nitrile Chemical Gloves,Safety Equipment,1668,2200,1702,294919.89
12,13,ITM-DEV-012,PLC Communication Module,Electrical Equipment,3977,572,3746,414200.33
13,14,ITM-DEV-013,Industrial Cleaning Chemical,Chemical Products,3554,4404,4307,199357.26
14,15,ITM-DEV-014,Thermal Transfer Ribbon,Warehouse Supplies,2934,4858,4291,273911.13
15,16,ITM-DEV-015,HDMI/DisplayPort Adapters,IT Services,2986,3848,1398,502557.97
16,17,ITM-DEV-001,Industrial Safety Gloves,Safety Equipment,1822,3633,929,295239.19
17,18,ITM-DEV-002,Corrugated Shipping Boxes,Packaging,105,1442,3236,674547.47
18,19,ITM-DEV-003,HDPE Packaging Bags,Packaging,113,552,3962,464154.89
19,20,ITM-DEV-004,Stainless Steel Fasteners,Raw Materials,466,2681,4076,437780.2
20,21,ITM-DEV-005,Electrical Control Panels,Electrical Equipment,4404,803,4170,386410.48
21,22,ITM-DEV-006,Copper Cable 4 sq mm,Electrical Equipment,703,111,2816,385939.43
