id,name,category,status,email,phone,country,contactPerson,onboardedAt,reliabilityScore,riskLevel,totalSpend
1,Vertex Suppliers 001,Packaging,Approved,vendor1@supplier.com,+91 90000 00001,Canada,Sneha Iyer,2025-08-26,71.8,Medium,316704
2,United Industries 002,Industrial Equipment,Approved,vendor2@supplier.com,+91 90000 00002,Australia,Vikram Verma,2024-08-08,85.2,Low,825581
3,Reliable Solutions 003,Office Supplies,Approved,vendor3@supplier.com,+91 90000 00003,Singapore,Sanjay Mehta,2026-01-17,49.9,Critical,506741
4,BlueLine Solutions 004,IT Services,Approved,vendor4@supplier.com,+91 90000 00004,Australia,Neha Kapoor,2025-12-22,96.6,Low,97933
5,Nova Suppliers 005,Packaging,Rejected,vendor5@supplier.com,+91 90000 00005,USA,Rohan Rao,2025-04-09,86.0,Low,691563
6,Advanced Systems 006,IT Services,Approved,vendor6@supplier.com,+91 90000 00006,USA,Neha Kumar,2024-06-24,53.6,High,585086
7,Eastern Suppliers 007,Packaging,Approved,vendor7@supplier.com,+91 90000 00007,Australia,Divya Reddy,2026-03-05,53.7,High,83655
8,Vertex Industries 008,Electronics,Approved,vendor8@supplier.com,+91 90000 00008,Germany,Amit Singh,2026-06-16,87.7,Low,777787
9,Reliable Suppliers 009,Maintenance Services,Approved,vendor9@supplier.com,+91 90000 00009,UK,Vikram Verma,2024-09-09,79.7,Medium,806177
10,BlueLine Services 010,Industrial Equipment,Approved,vendor10@supplier.com,+91 90000 00010,Australia,Sneha Verma,2025-06-05,58.9,High,542488
11,Prime Industries 011,Logistics,Approved,vendor11@supplier.com,+91 90000 00011,Canada,Neha Nair,2025-01-29,90.6,Low,425156
12,Green Manufacturing 012,Raw Materials,Rejected,vendor12@supplier.com,+91 90000 00012,USA,Karthik Gupta,2026-02-07,73.0,Medium,304786
13,United Systems 013,Maintenance Services,Approved,vendor13@supplier.com,+91 90000 00013,India,Meera Menon,2024-09-26,50.9,High,549902
14,United Technologies 014,IT Services,Approved,vendor14@supplier.com,+91 90000 00014,Germany,Rahul Sharma,2026-02-19,71.9,Medium,194396
15,BlueLine Services 015,Maintenance Services,Approved,vendor15@supplier.com,+91 90000 00015,India,Priya Sharma,2026-06-18,93.7,Low,897064
16,United Enterprises 016,Electronics,Approved,vendor16@supplier.com,+91 90000 00016,USA,Meera Iyer,2026-04-15,57.7,High,97574
17,United Services 017,Maintenance Services,Approved,vendor17@supplier.com,+91 90000 00017,UK,Vikram Gupta,2026-06-12,85.6,Low,661059
18,Summit Suppliers 018,Packaging,Pending,vendor18@supplier.com,+91 90000 00018,Singapore,Rohan Kumar,2025-10-27,94.2,Low,416559
19,Metro Services 019,Electronics,Approved,vendor19@supplier.com,+91 90000 00019,Australia,Arjun Singh,2025-07-21,68.9,High,266292
20,Green Suppliers 020,Raw Materials,Approved,vendor20@supplier.com,+91 90000 00020,Germany,Priya Mehta,2026-05-30,45.4,Critical,371479
21,Prime Services 021,Packaging,Approved,vendor21@supplier.com,+91 90000 00021,UK,Meera Singh,2025-08-13,57.6,High,520631
22,Vertex Manufacturing 022,Electronics,Approved,vendor22@supplier.com,+91 90000 00022,Canada,Ananya Patel,2025-02-24,87.8,Low,514710
23,Advanced Industries 023,Electronics,Rejected,vendor23@supplier.com,+91 90000 00023,India,Rohan Menon,2024-12-13,80.7,Medium,864482
24,Advanced Solutions 024,Maintenance Services,Approved,vendor24@supplier.com,+91 90000 00024,UK,Rohan Verma,2024-10-12,58.2,High,510100
25,Vertex Solutions 025,Electronics,Pending,vendor25@supplier.com,+91 90000 00025,India,Karthik Gupta,2026-05-06,68.5,High,40474
26,Prime Suppliers 026,Packaging,Approved,vendor26@supplier.com,+91 90000 00026,Canada,Amit Mehta,2024-06-17,53.8,High,422382
27,Nova Logistics 027,Maintenance Services,Pending,vendor27@supplier.com,+91 90000 00027,Singapore,Rohan Menon,2026-01-18,59.1,High,846414
28,BlueLine Manufacturing 028,Raw Materials,Approved,vendor28@supplier.com,+91 90000 00028,India,Meera Sharma,2024-02-28,53.2,High,77578
29,Green Manufacturing 029,Logistics,Pending,vendor29@supplier.com,+91 90000 00029,India,Aditya Nair,2026-05-21,71.7,Medium,219851
