id,title,description,severity,time_label
1,Vendor delivery performance alert,Development record for Indian supplier and supply-chain operations.,Active,FINANCE-000001
2,Invoice approval pending,Development record for Indian supplier and supply-chain operations.,Pending,FINANCE-000002
3,Inventory below reorder level,Development record for Indian supplier and supply-chain operations.,Completed,FINANCE-000003
4,Compliance deadline approaching,Development record for Indian supplier and supply-chain operations.,Open,FINANCE-000004
5,Finance payable ageing alert,Development record for Indian supplier and supply-chain operations.,Closed,FINANCE-000005
6,Purchase order approval required,Development record for Indian supplier and supply-chain operations.,In Progress,FINANCE-000006
7,Vendor delivery performance alert,Development record for Indian supplier and supply-chain operations.,Active,FINANCE-000007
8,Invoice approval pending,Development record for Indian supplier and supply-chain operations.,Pending,FINANCE-000008
9,Inventory below reorder level,Development record for Indian supplier and supply-chain operations.,Completed,FINANCE-000009
10,Compliance deadline approaching,Development record for Indian supplier and supply-chain operations.,Open,FINANCE-000010
11,Finance payable ageing alert,Development record for Indian supplier and supply-chain operations.,Closed,FINANCE-000011
12,Purchase order approval required,Development record for Indian supplier and supply-chain operations.,In Progress,FINANCE-000012
13,Vendor delivery performance alert,Development record for Indian supplier and supply-chain operations.,Active,FINANCE-000013
14,Invoice approval pending,Development record for Indian supplier and supply-chain operations.,Pending,FINANCE-000014
15,Inventory below reorder level,Development record for Indian supplier and supply-chain operations.,Completed,FINANCE-000015
16,Compliance deadline approaching,Development record for Indian supplier and supply-chain operations.,Open,FINANCE-000016
17,Finance payable ageing alert,Development record for Indian supplier and supply-chain operations.,Closed,FINANCE-000017
18,Purchase order approval required,Development record for Indian supplier and supply-chain operations.,In Progress,FINANCE-000018
19,Vendor delivery performance alert,Development record for Indian supplier and supply-chain operations.,Active,FINANCE-000019
20,Invoice approval pending,Development record for Indian supplier and supply-chain operations.,Pending,FINANCE-000020
21,Inventory below reorder level,Development record for Indian supplier and supply-chain operations.,Completed,FINANCE-000021
22,Compliance deadline approaching,Development record for Indian supplier and supply-chain operations.,Open,FINANCE-000022
23,Finance payable ageing alert,Development record for Indian supplier and supply-chain operations.,Closed,FINANCE-000023
24,Purchase order approval required,Development record for Indian supplier and supply-chain operations.,In Progress,FINANCE-000024
25,Vendor delivery performance alert,Development record for Indian supplier and supply-chain operations.,Active,FINANCE-000025
26,Invoice approval pending,Development record for Indian supplier and supply-chain operations.,Pending,FINANCE-000026
27,Inventory below reorder level,Development record for Indian supplier and supply-chain operations.,Completed,FINANCE-000027
28,Compliance deadline approaching,Development record for Indian supplier and supply-chain operations.,Open,FINANCE-000028
29,Finance payable ageing alert,Development record for Indian supplier and supply-chain operations.,Closed,FINANCE-000029
30,Purchase order approval required,Development record for Indian supplier and supply-chain operations.,In Progress,FINANCE-000030
31,Vendor delivery performance alert,Development record for Indian supplier and supply-chain operations.,Active,FINANCE-000031
32,Invoice approval pending,Development record for Indian supplier and supply-chain operations.,Pending,FINANCE-000032
33,Inventory below reorder level,Development record for Indian supplier and supply-chain operations.,Completed,FINANCE-000033
34,Compliance deadline approaching,Development record for Indian supplier and supply-chain operations.,Open,FINANCE-000034
35,Finance payable ageing alert,Development record for Indian supplier and supply-chain operations.,Closed,FINANCE-000035
36,Purchase order approval required,Development record for Indian supplier and supply-chain operations.,In Progress,FINANCE-000036
37,Vendor delivery performance alert,Development record for Indian supplier and supply-chain operations.,Active,FINANCE-000037
38,Invoice approval pending,Development record for Indian supplier and supply-chain operations.,Pending,FINANCE-000038
39,Inventory below reorder level,Development record for Indian supplier and supply-chain operations.,Completed,FINANCE-000039
40,Compliance deadline approaching,Development record for Indian supplier and supply-chain operations.,Open,FINANCE-000040
41,Finance payable ageing alert,Development record for Indian supplier and supply-chain operations.,Closed,FINANCE-000041
42,Purchase order approval required,Development record for Indian supplier and supply-chain operations.,In Progress,FINANCE-000042
43,Vendor delivery performance alert,Development record for Indian supplier and supply-chain operations.,Active,FINANCE-000043
44,Invoice approval pending,Development record for Indian supplier and supply-chain operations.,Pending,FINANCE-000044
45,Inventory below reorder level,Development record for Indian supplier and supply-chain operations.,Completed,FINANCE-000045
46,Compliance deadline approaching,Development record for Indian supplier and supply-chain operations.,Open,FINANCE-000046
47,Finance payable ageing alert,Development record for Indian supplier and supply-chain operations.,Closed,FINANCE-000047
48,Purchase order approval required,Development record for Indian supplier and supply-chain operations.,In Progress,FINANCE-000048
49,Vendor delivery performance alert,Development record for Indian supplier and supply-chain operations.,Active,FINANCE-000049
50,Invoice approval pending,Development record for Indian supplier and supply-chain operations.,Pending,FINANCE-000050
